d000.s000.t000 bn:00028018n
d002.s019.t000 bn:00037634n
d002.s019.t001 bn:00102421a
d002.s019.t002 bn:00007771n
d002.s019.t003 bn:00001177n
d002.s019.t004 bn:00092734v
d002.s019.t005 bn:00001940n
d002.s019.t006 bn:00027539n
d002.s019.t007 bn:00087731v
d002.s020.t000 bn:00064665n
d002.s020.t001 bn:00114246r
d002.s020.t002 bn:00085648v
d002.s020.t003 bn:00034797n
d002.s020.t004 bn:00001940n
d002.s020.t005 bn:00027539n
d002.s020.t006 bn:00023237n
d002.s020.t007 bn:00098215a
d002.s020.t008 bn:00031009n
d002.s021.t000 bn:00054278n
d002.s021.t001 bn:00026336n
d002.s021.t002 bn:00085904v
d002.s021.t003 bn:00064665n
d002.s021.t004 bn:00105539a
d002.s021.t005 bn:00049167n
d003.s000.t000 bn:00028018n
d003.s000.t001 bn:00075142n
d003.s000.t002 bn:00102440a
d003.s000.t003 bn:00109212a
d003.s000.t004 bn:00006502n
d003.s000.t005 bn:00000739n
d003.s001.t000 bn:00087869v
d003.s001.t001 bn:00019284n
d003.s001.t002 bn:00106556a
d003.s001.t003 bn:00016309n
d003.s001.t004 bn:00079883n
d003.s001.t005 bn:00030917n
d003.s001.t006 bn:00082854v
d003.s001.t007 bn:00074795n
d003.s001.t008 bn:00087108v
d003.s001.t009 bn:00087917v
d003.s001.t010 bn:00060926n
d003.s001.t011 bn:00082705v
d003.s001.t012 bn:00054134n
d003.s003.t000 bn:00082785v
d003.s003.t001 bn:00096388a
d003.s003.t002 bn:00074987n
d003.s003.t003 bn:00097848a
d003.s003.t004 bn:00052222n
d003.s003.t005 bn:00072762n
d003.s003.t006 bn:00046786n
d003.s004.t000 bn:00052222n
d003.s004.t001 bn:00089247v
d003.s004.t002 bn:00069756n
d003.s004.t003 bn:00051288n
d003.s004.t004 bn:00030865n
d003.s004.t005 bn:00117045r
d003.s004.t006 bn:00089157v
d003.s005.t000 bn:00052222n
d003.s005.t001 bn:00090151v
d003.s005.t002 bn:00051872n
d003.s005.t003 bn:00030865n
d003.s005.t004 bn:00050802n
d003.s005.t005 bn:00065553n
d003.s005.t006 bn:00108013a
d003.s005.t007 bn:00030865n
d003.s006.t000 bn:00082705v
d003.s007.t000 bn:00004656n
d003.s007.t001 bn:00089805v
d003.s007.t002 bn:00089154v
d003.s007.t003 bn:00083115v
d003.s008.t000 bn:00082705v
d003.s008.t001 bn:00003955n
d003.s008.t002 bn:00088454v
d003.s008.t003 bn:00083115v
d003.s008.t004 bn:00083115v
d003.s008.t005 bn:00084700v
d003.s008.t006 bn:00018141n
d003.s008.t007 bn:00054134n
d003.s008.t008 bn:00082705v
d003.s008.t009 bn:00027523n
d003.s008.t010 bn:00015184n
d003.s008.t011 bn:00090141v
d003.s008.t012 bn:00084700v
d003.s008.t013 bn:00083115v
d003.s009.t000 bn:00020878n
d003.s009.t001 bn:00111492a
d003.s009.t002 bn:00054018n
d003.s009.t003 bn:00108013a
d003.s009.t004 bn:00113583a
d003.s009.t005 bn:00027523n
d003.s009.t006 bn:00102635a
d003.s009.t007 bn:00027014n
d003.s009.t008 bn:00114246r
d003.s009.t009 bn:00082705v
d003.s009.t010 bn:00027523n
d003.s009.t011 bn:00027565n
d003.s009.t012 bn:00046786n
d003.s009.t013 bn:00046786n
d003.s009.t014 bn:00088020v
d003.s009.t015 bn:00052222n
d003.s010.t000 bn:00026651n
d003.s010.t001 bn:00087734v
d003.s010.t002 bn:00025417n
d003.s012.t000 bn:00083635v
d003.s012.t001 bn:00066514n
d003.s012.t002 bn:00082294v
d003.s012.t003 bn:00017184n
d003.s013.t000 bn:00094501v
d003.s014.t000 bn:00009055n
d003.s014.t001 bn:00074795n
d003.s014.t002 bn:00084595v
d003.s014.t003 bn:00049586n
d003.s014.t004 bn:00003955n
d003.s014.t005 bn:00001742n
d003.s014.t006 bn:00113583a
d003.s014.t007 bn:00110470a
d003.s014.t008 bn:00031903n
d003.s015.t000 bn:00009906n
d003.s015.t001 bn:00093686v
d003.s015.t002 bn:00074795n
d003.s016.t000 bn:00067406n
d003.s016.t001 bn:00074795n
d003.s016.t002 bn:00093686v
d003.s016.t003 bn:00116285r
d003.s016.t004 bn:00102043a
d003.s016.t005 bn:00062718n
d003.s016.t006 bn:00105888a
d003.s016.t007 bn:00027565n
d003.s016.t008 bn:00085683v
d003.s016.t009 bn:00003955n
d003.s016.t010 bn:00091603v
d003.s016.t011 bn:00054134n
d003.s016.t012 bn:00003955n
d003.s016.t013 bn:00091603v
d003.s016.t014 bn:00062718n
d003.s016.t015 bn:00027523n
d003.s016.t016 bn:00008467n
d003.s016.t017 bn:00027565n
d003.s017.t000 bn:00027523n
d003.s017.t001 bn:00027565n
d003.s017.t002 bn:00003955n
d003.s017.t003 bn:00083341v
d003.s017.t004 bn:00046786n
d003.s017.t005 bn:00027565n
d003.s017.t006 bn:00004222n
d003.s017.t007 bn:00116360r
d003.s017.t008 bn:00096154a
d003.s017.t009 bn:00052222n
d003.s017.t010 bn:00105231a
d003.s017.t011 bn:00052222n
d003.s017.t012 bn:00114171r
d003.s018.t000 bn:00035626n
d003.s018.t001 bn:00027523n
d003.s018.t002 bn:00059954n
d003.s018.t003 bn:00082366v
d003.s018.t004 bn:00052222n
d003.s018.t005 bn:00003955n
d003.s019.t000 bn:00114246r
d003.s019.t001 bn:00027523n
d003.s019.t002 bn:00027565n
d003.s019.t003 bn:00114626r
d003.s019.t004 bn:00114766r
d003.s019.t005 bn:00108013a
d003.s019.t006 bn:00111492a
d003.s019.t007 bn:00054018n
d003.s019.t008 bn:00108013a
d003.s019.t009 bn:00113583a
d003.s019.t010 bn:00076843n
d003.s019.t011 bn:00082340v
d003.s019.t012 bn:00095361v
d003.s019.t013 bn:00016403n
d003.s019.t014 bn:00027565n
d003.s020.t000 bn:00067931n
d003.s020.t001 bn:00082869v
d003.s021.t000 bn:00114634r
d003.s021.t001 bn:00117609r
d003.s021.t002 bn:00082544v
d003.s021.t003 bn:00082366v
d003.s021.t004 bn:00114918r
d003.s021.t005 bn:00028320n
d003.s021.t006 bn:00064472n
d003.s021.t007 bn:00082418v
d003.s021.t008 bn:00000903n
d003.s021.t009 bn:00102617a
d003.s021.t010 bn:00061605n
d003.s021.t011 bn:00064472n
d003.s021.t012 bn:00106517a
d003.s021.t013 bn:00022192n
d003.s021.t014 bn:00027523n
d003.s022.t000 bn:00016012n
d003.s022.t001 bn:00061715n
d003.s022.t002 bn:00087734v
d003.s022.t003 bn:00054134n
d003.s022.t004 bn:00085354v
d003.s022.t005 bn:00022120n
d003.s022.t006 bn:00004222n
d003.s023.t000 bn:00116360r
d003.s023.t001 bn:00090646v
d003.s023.t002 bn:00108298a
d003.s023.t003 bn:00067931n
d003.s023.t004 bn:00061451n
